Gender , Area ,Faculty,College_Location ,father_edu,mother_edu,father_occ,mother_occ,income,attendance,lecture_attendance,assignment_submit,teacher_help,study_hours,study_management,study_method,Percentage,internal_performance,Backlogs,internet_access,online_platforms_usage,responsibilities_affect_study,Challenge_1,Challenge_2,Challenge_3,Challenge_4,Challenge_5,Challenge_6,Challenge_Score,distraction,parent_support,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_Score ,Stress,family_pressure,Sleep_Hours,support_needed
0,0,Commerce,1,3,2,Farmer,Unemployed (not currently working),1,1,3,4,1,1,2, Note-taking,60,1,0,3,4,1,4,0,0,1,0,0,5, Mobile / TV / Laptop  ,1,1,3,3,3,3,3,16,2,2,2, Study materials 
0,0,Science,1,3,3,Business,Government employee,2,3,4,4,3,2,3, Self-study,78,4,0,3,3,2,1,1,1,1,1,1,6, Mobile / TV / Laptop  ,1,4,3,3,0,1,0,11,2,2,3, Personal counselling  Time management tips  Career guidance  More interactive teaching 
1,0,Science,1,3,2,Government employee,Unemployed (not currently working),3,3,4,4,4,3,4, Note-taking Self-study,93,3,0,3,2,3,1,0,1,2,2,2,8," Family responsibilities  Social media (WhatsApp, Instagram, etc.) ",0,4,4,4,4,1,0,17,2,1,2, Study materials  Time management tips 
0,1,Science,1,4,4,Business,Unemployed (not currently working),3,2,2,4,3,2,3, Self-study,67,1,0,3,3,1,1,0,2,1,0,2,6, Mobile / TV / Laptop  ,1,3,4,4,2,3,1,17,2,2,2, Time management tips 
0,0,Science,0,2,2,Farmer,Unemployed (not currently working),1,1,1,1,1,1,2, Note-taking,60,1,0,2,4,1,1,2,2,1,2,1,9, Mobile / TV / Laptop  ,1,1,2,1,2,3,4,13,2,1,4, Time management tips  Career guidance 
1,0,Science,1,4,1,Farmer,Farmer,1,2,2,2,2,3,2, Group study,70,2,0,4,3,1,0,0,0,0,0,0,0, Friends ,1,0,0,0,0,0,0,0,1,2,3, Study materials 
0,0,Science,1,2,2,Farmer,Farmer,1,3,3,4,2,4,5, Self-study Online tutorials,76,2,0,4,4,3,1,3,2,1,1,1,9," Mobile / TV / Laptop   Family responsibilities  Social media (WhatsApp, Instagram, etc.) ",1,3,4,3,2,3,2,17,2,2,2, Group study discussions  Career guidance  More interactive teaching 
0,1,Science,1,2,2,Farmer,Unemployed (not currently working),2,3,3,4,2,4,5, Self-study Online tutorials,76,2,0,4,4,2,1,0,2,1,1,0,5," Social media (WhatsApp, Instagram, etc.) ",1,4,4,3,2,1,1,15,2,2,2, Personal counselling  Time management tips  Career guidance  More interactive teaching 
0,0,Management,1,2,2,Farmer,Unemployed (not currently working),1,3,4,4,3,3,3, Group study Self-study Online tutorials,77.6,2,0,3,2,3,1,0,2,1,1,3,8," Lack of interest  Social media (WhatsApp, Instagram, etc.) ",1,4,3,3,3,4,0,17,3,3,3, Extra classes  Study materials  Group study discussions 
0,0,Commerce,1,3,3,Business,Unemployed (not currently working),2,2,3,3,2,3,3, Note-taking,70,2,0,2,4,1,1,2,1,2,3,0,9, Mobile / TV / Laptop  ,1,0,2,4,2,2,3,13,2,1,4, More interactive teaching 
0,1,Commerce,1,4,4,Business,Unemployed (not currently working),4,2,3,4,3,3,3, Note-taking Self-study Online tutorials Practice tests,70,2,0,2,4,3,3,1,4,2,3,1,14," Mobile / TV / Laptop   Lack of interest  Social media (WhatsApp, Instagram, etc.) ",1,3,3,1,2,2,4,15,2,2,4, Personal counselling  Study materials  Time management tips  Career guidance  More interactive teaching 
0,0,Science,1,4,4,Farmer,Unemployed (not currently working),1,2,3,4,2,2,2, Self-study Online tutorials,65,2,0,4,4,1,0,1,3,1,2,1,8, Mobile / TV / Laptop   Friends  Family responsibilities ,1,1,0,3,2,3,0,9,2,1,3, Study materials  Career guidance 
0,0,Arts,1,2,2,Daily wage labourer,Daily wage labourer,1,2,2,2,3,2,4, Self-study,75,2,1,3,3,1,0,0,0,0,0,0,0, Friends ,1,0,0,0,0,0,0,0,2,2,3, Personal counselling 
1,0,Arts,0,2,1,Farmer,Farmer,1,3,3,4,3,2,3, Note-taking Group study Self-study,70,2,0,4,4,3,3,2,1,3,2,2,13," Mobile / TV / Laptop   Family responsibilities  Social media (WhatsApp, Instagram, etc.)  Health issues ",1,3,2,2,2,3,1,13,2,2,3, Study materials  Career guidance  More interactive teaching 
1,1,Science,1,3,4,Business,Unemployed (not currently working),2,3,4,4,3,2,3, Self-study,79.77,2,0,2,3,3,2,1,0,2,4,2,11, Mobile / TV / Laptop   Friends ,1,2,4,3,1,2,4,16,3,3,3, Personal counselling 
1,0,Commerce,0,3,3,Government employee,Government employee,1,2,2,2,4,2,2, Self-study,70,2,1,3,3,3,0,0,0,0,1,0,1, Family responsibilities ,1,1,0,0,1,0,0,2,3,3,3, Personal counselling 
0,0,Science,1,1,2,Daily wage labourer,Unemployed (not currently working),1,3,3,4,2,2,2, Note-taking Self-study,78,1,0,3,2,1,1,3,2,1,1,0,8," Mobile / TV / Laptop   Family responsibilities  Social media (WhatsApp, Instagram, etc.) ",1,3,4,2,0,0,3,12,3,4,4, Personal counselling  Time management tips  More interactive teaching 
1,0,Science,1,2,2,Daily wage labourer,Unemployed (not currently working),1,3,4,4,1,3,3, Self-study,83,2,0,4,3,2,2,1,4,0,3,1,11, Mobile / TV / Laptop   Lack of interest ,0,1,3,2,3,4,0,13,2,4,2, Personal counselling  Time management tips  Career guidance 
0,0,Science,1,2,2,Farmer,Unemployed (not currently working),1,3,3,4,4,2,4, Self-study,89,3,0,3,4,5,1,1,1,1,2,2,8, Mobile / TV / Laptop  ,1,3,3,3,3,3,2,17,2,2,3, Time management tips  Career guidance 
0,0,Science,1,2,3,Farmer,Unemployed (not currently working),1,2,2,2,1,1,3, Practice tests,35,1,2,4,2,3,3,2,1,1,1,0,8, Mobile / TV / Laptop   Friends ,0,0,0,0,1,0,0,1,1,2,4, Career guidance 
1,0,Arts,1,3,3,Farmer,Farmer,1,1,3,3,3,3,4, Group study Self-study Online tutorials,77,2,0,2,2,2,0,3,1,3,1,2,10, Friends  Family responsibilities ,1,0,2,0,1,3,0,6,2,2,3, Extra classes  Study materials  Career guidance 
0,1,Management,1,4,3,Private sector job,Business,3,3,4,4,3,3,4, Note-taking,80,4,0,2,4,3,3,1,2,2,3,1,12, Mobile / TV / Laptop  ,1,3,3,2,1,3,3,15,2,2,4, Study materials  Time management tips 
1,0,Management,1,2,1,Farmer,Unemployed (not currently working),1,2,3,3,3,2,3, Self-study Online tutorials,65,2,1,2,4,3,1,1,1,1,1,2,7, Mobile / TV / Laptop   Family responsibilities ,1,3,3,3,3,3,2,17,2,3,3, Extra classes  Study materials 
1,1,Management,1,2,1,Unemployed (not currently working),Unemployed (not currently working),4,2,2,3,2,2,3, Note-taking,60,2,0,3,1,2,0,1,0,2,1,0,4, Lack of interest ,1,0,0,1,1,0,0,2,3,1,2, Study materials 
0,0,Science,1,4,4,Farmer,Farmer,1,3,4,4,4,2,4, Note-taking Self-study Online tutorials,75,2,0,3,3,3,0,1,3,1,1,2,8," Mobile / TV / Laptop   Friends  Family responsibilities  Lack of interest  Social media (WhatsApp, Instagram, etc.)  Health issues ",1,4,4,3,2,3,3,19,3,4,3, Time management tips 
1,0,Science,0,3,3,Farmer,Government employee,1,3,4,3,3,3,4, Self-study Online tutorials,80,3,0,2,4,3,1,1,1,1,2,3,9," Mobile / TV / Laptop   Friends  Family responsibilities  Lack of interest  Social media (WhatsApp, Instagram, etc.)  Health issues ",1,4,4,2,1,2,1,14,2,2,3, Time management tips  Career guidance  More interactive teaching 
1,0,Management,1,3,3,Government employee,Unemployed (not currently working),3,1,2,2,1,2,2, Group study,68,1,1,2,4,4,1,1,1,1,1,1,6," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,3,3,1,1,1,4,13,3,1,4, Personal counselling  Study materials  Time management tips  Group study discussions  Career guidance 
